Part Number,Description
Washer_DIN_EN_ISO_7089_2000_6.0_v16.00,INACTIVE -  WASHER DIN EN ISO 7089-6
Nut_DIN_982_M6_v19.00,HEXAGON NUT DIN 982-M6
Nut_M10_DIN_7967_v19.00,SELF LOCKING COUNTER NUT M10 DIN 7967
Washer_DIN_EN_ISO_7089_2000_12_v16.00,INACTIVE -  WASHER DIN ISO 7089-12
Screw_DIN_912_M6x20_v16.00,HEXAGON SOCKET HEAD CAP SCREW DIN 912-M6x20
JSB-540-00-R0,JSB LEVEL-4 ASS'Y
JSB-541-02-R0,JSB LEVEL-4 BOTTOM FLANGE
JSB-539-00-R0,HYSINCERE BATTERY COVER %RT LEVELS 4&5
JSB-536-00-R0,HYSINCERE BATTERY TOP PLATE B ASS'Y
49MM BUS BAR,49MM BUS BAR
INACTIVE - JSB-515-07-R0,HYSINCERE BOTTOM SPACER 2 THK
hysincere 150Ah,INACTIVE - hysincere 150Ah
70MM BUS BAR,70MM BUS BAR
JSB-536-02-R0,BATTERY TOP COVER B
INACTIVE-JSB-515-02-R0,HYSINCERE BOTTOM SPACER THK
JSB-535-01-R0,"hysencere ""U"" boc short ""A"""
INACTIVE - JSB-535-03-R0,HYSINCERE COVER PLATE SHORT A
INACTIVE - JSB-515-05-R0,HYSINCERE END PLATE
INACTIVE - JSB-515-04-R0,HYSINCERE INTIERMEDIATE PLATE
INACTIVE - JSB-533-01-R0,SPACER
JSB-533-00-R0,TBD
Fan BFB1224GH-A,FAN
JSB-533-03-R0,SPACER
INACTIVE - JSB-533-02-R0,FAN SUPPORT
JSB-535-00-R0,HYSINCERE BATTERTY TOP PLATE A ASS'Y
JSB-535-02-R0,BATTERY TOP COVER A
JSB-537-00-R0,HYSINCERE BATTERY TOP PLATE C ASS'Y
JSB-537-02-R0,BATTERY TOP COVER C
JSB-512-17,INTERNAL HEAT SINK
JSB-541-00-R1,JSB LEVEL-4 SUB ASS'Y
JSB-510-02-R0,CABLE ACCESS COVER PLATE
JSB-541-04,JSB LEVEL-4 SIDE PLATE 3
JSB-521-02-R0,JSB LEVEL-2-5 SIDE PLATE 2
JSB-111-05-R1,CORNER ANGLE
JSB-521-04-R0,JSB LEVEL-2-5 SIDE PLATE 4
JSB-541-03,JSB LEVEL-4 SIDE PLATE 1
JSB-512-16,EXTERNAL HEAT SINK
JSB-530-00-R0,JSB LEVEL-3 ASS'Y
JSB-530-01-R0,JSB LEVEL-6 COVER PLATE
JSB-517-00-R0,"HYSINCERE BATTERY COVER %RT LEVEL 1,2&3"
JSB-513-00-R0,CATL END PLATE ASS'Y
JSB-513-03-R0,SPACER
INACTIVE - JSB-513-02-R0,FAN CARRIER
INACTIVE - JSB-517-01-R0,SPACER
JDPE-40M-00,TBD
MS20M23xx,TBD
JDPE-40M-001,TBD
JSB-516-00-R0,HYSINCERE BATTERY LONG ASS'Y B
M10 SOCKET HEAD WOOD NUTSERT,M10 SOCKET HEAD WOOD NUTSERT
JSB-516-01-R0,BATTERY TOP COVER E
JSB-515-01-R0,"HYSINCERE ""U"" BOX LONG"
JSB-516-03-R0,HYSINCERE COVER PLATE LONG B
RV1.25-6,RING CONNECTOR RV1.25-6
JSB-515-00-R0,HYSINCERE BATTERY LONG ASS'Y A
JSB-515-06-R0,battery top cover D
JSB-531-00-R0,JSC LEVEL-2 SUB ASS'Y
JSB-531-03-R0,JSB LEVEL-2-3 SIDE PLATE 3
JSB-531-01-R1,JSC LEVEL-2 SIDE PLATE 1
JSB-531-02-R0,JSB LEVEL-3 BOTTOM FLANGE
JSB-520-00-R0,JSB LEVEL-2 ASS'Y
JSB-521-00-R0,JSB LEVEL-2 SUB ASS'Y
JSB-521-03-R0,JSB LEVEL-2-3 SIDE PLATE 3
JSB-521-01-R0,JSB LEVEL-2 SIDE PLATE 1
JSB-521-06-R0,JSB LEVEL-2 BOTTOM PLATE
JSB-510-00-R0,JSB LEVEL-1 ASS'Y
JSB-511-00-R0,JSB LEVEL-1 SUB ASS'Y
JSB-511-01-R0,JSB LEVEL-1 MAIN BOX
JSB-111-04,VERTICAL STIFFENER
Screw_DIN_7991_M6x20_v16.00,COUNTERSUNCK SCREW DIN 7991-M6x20
Screw_DIN_7991_M6x25_v16.00,COUNTERSUNK SCREW DIN 7991-M6x25
JSB-550-00-R0,JSB LEVEL-5 ASS'Y
JSB-551-05-R0,JSB LEVEL-5 BOTTOM FLANGE
JSB-551-00-R0,JSB LEVEL-4 SUB ASS'Y
JSB-551-04-R0,JSB LEVEL-5 SIDE PLATE 3
JSB-551-03-R0,JSB LEVEL-5 SIDE PLATE 1
Screw_DIN_912_M10x25_v16.00,HEXAGON SOCKET HEAD CAP SCREW DIN 912 - M10x25
JSB-561-03-R1,JSB LEVEL-6 BOTTOM FLANGE
DW1P002ZH1,"2 Connector Plug, Female Sockets Panel Mount Brown Rack and Panel"
DW1R020,20 Position Housing for Female Sockets Connector Black Free Hanging (In-Line)
DW1P020,20 Position Housing for Male Pins Connector Black Free Hanging (In-Line)
D250-50632,DW1 SERIES RCPT SHOULDER BOLT
VSD PLASTIC COVERS(LONG),LONG PLASTIC COVER
FEEO (FPV-125 Solar DC CIRCUIT BREAKER),FPV-125 Solar DC CIRCUIT BREAKER
VSD PLASTIC COVERS(SMALL),SMALLPLASTIC COVERS
VSD PLASTIC COVERS(SPARE),SPARE LITTLE SLIDING COVERS
SOLENOID(EV200HAANA),"Contactor, 500 A, Panel Mount, 900 VDC, SPST-NO, 1 Pole"
DC TO DC CONVERTER,750V TO 12V
Machinery Coolant Pump,TC-8130 Machinery Coolant Pump
RIH(PNEUMATIC VALVE),Solenoid Valve 2 Position 5-way 4V410-15 Pneumatic Guide Solenoid Valves 1/2''
EATON HEX FLANGE CRIMPED NUT,EATON HEX FLANGE CRIMPED NUT
ORION BMS(MASTER),Orion 180 Cell BMS
EL-07-0004,125A MCCB-750 DC breaker
SUNTREE DC MCCB,SM8-250HPV 2P 1000V 3P 1500V 80A to 250A Mould Case Circuit Breaker
RESISTORS,BLUE RESISTORS
CA-01-0020,Inertia Switch
UR100030-SW,30kW CHARGER
RADIATOR,RADIATOR
EVAPORATOR/CONDENSOR,EVAPORATOR/CONDENSOR
JSB-115-01-R1,3mm Clear Polycarbonate
Labour-Pressing,Pressing Chnarge-Included in the main item
WFRZI08020G16,INACTIVE -  WASHER FLAT RND ZINC 5/16X3/4X16G
JSB-113-00,CATL END PLATGE ASS'Y
JSB-113-03,CATL SPACER(EPVC)
JSB-113-02,CATL SPACER(EPVC)
JSB-112-00-R1 CATL Battery Pack B,CATL BATTERY LONG ASS'Y B
JSB-112-07-R1,2 PIN LONG BUSBAR
JSB-112-05-R1,2 PIN LONG BUSBAR
JSB-112-08-R2,BATTERY TOP COVER B
